 schemaname |           tablename            |                      policyname                      | permissive |  roles   |  cmd   |                                                          qual                                                           |                                                       with_check                                                        
 sakina_ai  | mastermind_decisions           | rls_sakina_ai_mastermind_decisions_service           | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | mastermind_decisions           | rls_sakina_ai_mastermind_decisions_user_id           | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | messages                       | rls_sakina_ai_messages_service                       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | messages                       | rls_sakina_ai_messages_user_id                       | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | messages                       | rls_sakina_messages_conversation_owner               | PERMISSIVE | {public} | ALL    | (sakina_ai.rls_service_role() OR (user_id = sakina_ai.current_user_id()) OR (EXISTS ( SELECT 1                         +| (sakina_ai.rls_service_role() OR (user_id = sakina_ai.current_user_id()) OR (EXISTS ( SELECT 1                         +
            |                                |                                                      |            |          |        |    FROM sakina_ai.conversations c                                                                                      +|    FROM sakina_ai.conversations c                                                                                      +
            |                                |                                                      |            |          |        |   WHERE ((c.id = messages.conversation_id) AND (c.user_id = sakina_ai.current_user_id())))))                            |   WHERE ((c.id = messages.conversation_id) AND (c.user_id = sakina_ai.current_user_id())))))
 sakina_ai  | multimodal_assets              | rls_sakina_ai_multimodal_assets_service              | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | multimodal_assets              | rls_sakina_ai_multimodal_assets_user_id              | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | rag_retrieval_audit            | rls_sakina_ai_rag_retrieval_audit_service            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | rag_retrieval_audit            | rls_sakina_ai_rag_retrieval_audit_user_id            | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | safety_classifications         | rls_sakina_ai_safety_classifications_service         | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | safety_classifications         | rls_sakina_ai_safety_classifications_user_id         | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | scholar_review_queue           | rls_sakina_ai_scholar_review_queue_service           | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | user_memory_entries            | rls_sakina_ai_user_memory_entries_service            | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | user_memory_entries            | rls_sakina_ai_user_memory_entries_user_id            | PERMISSIVE | {public} | ALL    | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())                                               | ((user_id = sakina_ai.current_user_id()) OR sakina_ai.rls_service_role())
 sakina_ai  | waitlist                       | rls_sakina_ai_waitlist_service                       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
 sakina_ai  | wasm_verification_events       | rls_sakina_ai_wasm_verification_events_service       | PERMISSIVE | {public} | ALL    | sakina_ai.rls_service_role()                                                                                            | sakina_ai.rls_service_role()
(194 rows)

