# TASK 4: Policies
## total count
 total_policies 
----------------
             86
(1 row)

## per schema
 schemaname | count 
------------+-------
 outbox     |     1
 public     |    29
 sakina_ai  |    56
(3 rows)

## detail (first 100)
 schemaname |         tablename         |                      policyname                      |  cmd   
 sakina_ai  | local_sunni_topics        | rls_sakina_ai_local_sunni_topics_service             | ALL
 sakina_ai  | messages                  | rls_sakina_ai_messages_user_id                       | ALL
 sakina_ai  | messages                  | rls_sakina_ai_messages_service                       | ALL
 sakina_ai  | messages                  | rls_sakina_messages_conversation_owner               | ALL
 sakina_ai  | mobile_memory_sync        | rls_sakina_ai_mobile_memory_sync_service             | ALL
 sakina_ai  | mobile_memory_sync        | rls_sakina_ai_mobile_memory_sync_user                | ALL
 sakina_ai  | mobile_memory_sync        | rls_sakina_ai_mobile_memory_sync_user_id             | ALL
 sakina_ai  | multimodal_assets         | rls_sakina_ai_multimodal_assets_service              | ALL
 sakina_ai  | multimodal_assets         | rls_sakina_ai_multimodal_assets_user_id              | ALL
 sakina_ai  | scholar_review_queue      | rls_sakina_ai_scholar_review_queue_service           | ALL
 sakina_ai  | user_habit_signals        | rls_sakina_ai_user_habit_signals_user_id             | ALL
 sakina_ai  | user_habit_signals        | rls_sakina_ai_user_habit_signals_user                | ALL
 sakina_ai  | user_habit_signals        | rls_sakina_ai_user_habit_signals_service             | ALL
 sakina_ai  | user_interest_signals     | rls_sakina_ai_user_interest_signals_user             | ALL
 sakina_ai  | user_interest_signals     | rls_sakina_ai_user_interest_signals_user_id          | ALL
 sakina_ai  | user_interest_signals     | rls_sakina_ai_user_interest_signals_service          | ALL
 sakina_ai  | user_learning_preferences | rls_sakina_ai_user_learning_preferences_service      | ALL
 sakina_ai  | user_learning_preferences | rls_sakina_ai_user_learning_preferences_user         | ALL
 sakina_ai  | user_learning_preferences | rls_sakina_ai_user_learning_preferences_user_id      | ALL
 sakina_ai  | user_memory_entries       | rls_sakina_ai_user_memory_entries_service            | ALL
 sakina_ai  | user_memory_entries       | rls_sakina_ai_user_memory_entries_user_id            | ALL
 sakina_ai  | user_memory_permissions   | rls_sakina_ai_user_memory_permissions_user           | ALL
 sakina_ai  | user_memory_permissions   | rls_sakina_ai_user_memory_permissions_service        | ALL
 sakina_ai  | user_memory_permissions   | rls_sakina_ai_user_memory_permissions_user_id        | ALL
 sakina_ai  | waitlist                  | rls_sakina_ai_waitlist_service                       | ALL
 sakina_ai  | workspaces                | rls_sakina_ai_workspaces_user_id                     | ALL
 sakina_ai  | workspaces                | rls_sakina_ai_workspaces_service                     | ALL
 sakina_ai  | workspaces                | rls_sakina_ai_workspaces_user                        | ALL
(86 rows)

